Date,Close,High,Low,Open,Volume
2016-01-01,104.66,104.66,104.66,104.66,0
2016-01-04,102.22,102.24,99.75,101.95,37912403
2016-01-05,102.73,103.7099,101.665,102.89,23258238
2016-01-06,102.97,103.77,100.9,101.13,25096183
2016-01-07,97.92,101.43,97.3,100.5,45172906
2016-01-08,97.33,100.5,97.0311,99.88,35402298
2016-01-11,97.51,98.6,95.39,97.91,29932385
2016-01-12,99.37,99.96,97.55,99.0,28395390
2016-01-13,95.44,100.58,95.21,100.58,33410553
2016-01-14,98.37,98.87,92.45,95.85,48658623
2016-01-15,94.97,96.38,93.54,93.98,46132781
2016-01-18,94.97,94.97,94.97,94.97,0
2016-01-19,95.26,97.42,93.92,96.53,30998256
2016-01-20,94.35,95.0,89.37,92.83,59051429
2016-01-21,94.16,95.99,92.62,94.91,30518939
2016-01-22,97.94,98.07,95.49,96.41,30495387
2016-01-25,97.01,99.48,96.93,98.72,32482014
2016-01-26,97.34,97.88,95.66,97.76,26877080
2016-01-27,94.45,97.85,94.23,97.79,58699359
2016-01-28,109.11,110.34,104.81,107.2,107475327
2016-01-29,112.21,112.84,108.84,108.99,62739548
2016-02-01,115.09,115.72,112.01,112.27,46132726
2016-02-02,114.61,117.59,113.2,114.8,59778571
2016-02-03,112.69,115.3407,109.75,115.27,56919324
2016-02-04,110.49,111.94,109.25,111.8,38890199
2016-02-05,104.07,109.58,103.18,109.51,76894741
2016-02-08,99.75,102.68,97.46,100.41,71229746
2016-02-09,99.54,102.4,96.82,97.14,62709018
2016-02-10,101.0,103.25,100.24,101.55,45179370
2016-02-11,101.91,105.11,98.88,99.6,43670634
2016-02-12,102.01,104.24,101.09,103.74,36176760
2016-02-15,102.01,102.01,102.01,102.01,0
2016-02-16,101.61,103.93,100.24,103.8,45687224
2016-02-17,105.2,105.72,100.4,101.94,44073369
2016-02-18,103.47,106.0,103.03,105.8,29593508
2016-02-19,104.57,105.02,102.06,102.55,32404516
2016-02-22,107.16,108.25,105.34,105.49,35709714
2016-02-23,105.46,107.47,105.12,106.85,25319315
2016-02-24,106.88,106.95,102.74,104.21,34412437
2016-02-25,108.07,108.07,105.61,107.11,29906278
2016-02-26,107.92,109.45,107.16,108.7,26686193
2016-02-29,106.92,108.9101,106.75,107.6,32778992
2016-03-01,109.82,109.82,107.6,107.83,26817309
2016-03-02,109.95,110.55,108.77,109.68,25670170
2016-03-03,109.58,110.3,108.54,110.25,21353092
2016-03-04,108.39,110.05,107.93,110.05,24938858
2016-03-07,105.73,108.07,104.72,108.07,31534055
2016-03-08,105.93,107.37,104.4,104.78,25616963
2016-03-09,107.51,107.51,105.49,106.7,20493305
2016-03-10,107.32,108.66,105.7699,107.91,24854284
2016-03-11,109.41,109.42,107.92,108.48,20697553
