Date,Close,High,Low,Open,Volume
2016-01-01,55.48,55.48,55.48,55.48,0
2016-01-04,54.8,54.8,53.39,54.32,53777963
2016-01-05,55.05,55.39,54.54,54.93,34079674
2016-01-06,54.05,54.4001,53.64,54.32,39518863
2016-01-07,52.17,53.485,52.07,52.7,56564852
2016-01-08,52.33,53.28,52.15,52.37,48753969
2016-01-11,52.3,52.85,51.46,52.51,36943756
2016-01-12,52.78,53.1,52.06,52.76,36095539
2016-01-13,51.64,54.07,51.3038,53.8,66883571
2016-01-14,53.11,53.4163,51.57,52.0,52381918
2016-01-15,50.99,51.97,50.34,51.31,71820697
2016-01-18,50.99,50.99,50.99,50.99,0
2016-01-19,50.56,51.68,50.06,51.48,43564538
2016-01-20,50.79,51.38,49.1,49.98,63272993
2016-01-21,50.48,51.58,50.3,51.0,40191157
2016-01-22,52.29,52.33,51.26,51.41,37555789
2016-01-25,51.79,52.65,51.65,51.94,34707717
2016-01-26,52.17,52.44,51.55,51.79,28900820
2016-01-27,51.22,52.2,51.0201,52.01,36775194
2016-01-28,52.055,52.21,51.25,51.86,62513789
2016-01-29,55.09,55.09,54.0,54.73,83611686
2016-02-01,54.71,55.09,54.495,54.88,44208542
2016-02-02,53.0,54.26,52.65,54.17,56313753
2016-02-03,52.16,53.39,51.26,53.25,57559814
2016-02-04,52.0,52.81,51.37,52.1,46987123
2016-02-05,50.16,52.0,49.56,51.94,62008994
2016-02-08,49.41,49.57,48.19,49.55,59290497
2016-02-09,49.28,50.24,48.67,49.02,46740474
2016-02-10,49.71,50.39,49.52,49.89,38236954
2016-02-11,49.69,50.11,48.51,48.68,48878571
2016-02-12,50.5,50.68,49.75,50.25,34243324
2016-02-15,50.5,50.5,50.5,50.5,0
2016-02-16,51.09,51.09,50.13,50.9,37291208
2016-02-17,52.42,52.77,51.45,51.49,40788968
2016-02-18,52.19,52.95,52.1,52.33,27176035
2016-02-19,51.82,52.28,51.53,51.97,33559073
2016-02-22,52.65,53.0,52.28,52.28,25008291
2016-02-23,51.18,52.37,50.98,52.34,28895274
2016-02-24,51.36,51.5,50.2,50.69,33014457
2016-02-25,52.1,52.1,50.61,51.73,26939467
2016-02-26,51.3,52.68,51.1,52.6,35975925
2016-02-29,50.88,51.65,50.66,51.35,31654036
2016-03-01,52.58,52.59,50.9199,50.97,33024535
2016-03-02,52.95,52.96,52.155,52.41,29289884
2016-03-03,52.35,52.97,51.78,52.97,24427813
2016-03-04,52.03,52.45,51.71,52.4,33034149
2016-03-07,51.03,51.8,50.58,51.56,38428816
2016-03-08,51.65,52.13,50.595,50.8,33835119
2016-03-09,52.84,52.85,51.855,51.89,28251588
2016-03-10,52.05,52.94,51.16,52.93,38387804
2016-03-11,53.07,53.07,52.38,53.0,32275677
2016-03-14,53.17,53.59,52.63,52.71,24083616
2016-03-15,53.59,53.59,52.74,52.75,21104763
2016-03-16,54.35,54.6,53.4,53.45,31691742
2016-03-17,54.66,55.0,54.0,54.21,28223947
2016-03-18,53.49,54.97,53.445,54.92,67625518
2016-03-21,53.86,53.9298,52.93,53.25,23925716
2016-03-22,54.07,54.25,53.46,53.61,23124143
2016-03-23,53.97,54.24,53.74,54.11,20129015
2016-03-24,54.21,54.33,53.73,53.84,19949972
2016-03-25,54.21,54.21,54.21,54.21,0
2016-03-28,53.54,54.29,53.33,54.21,17025050
2016-03-29,54.71,54.86,53.45,53.66,23924329
2016-03-30,55.05,55.64,54.9,54.93,23008260
2016-03-31,55.23,55.59,54.86,54.95,26360495
2016-04-01,55.57,55.61,54.57,55.05,24399193
